timestamp,order_id,market_ticker,side,count,price,edge,p_true,book_odds,market_type,total_line,team,event_ticker
2026-02-06T18:38:44.722815,8d95b035-17a1-4840-836e-5808b46cd576,KXNCAAMBGAME-26FEB07LASSLU-SLU,YES,4,0.93,0.032606,0.962606,-10000.0,MONEYLINE,,saint louis,KXNCAAMBGAME-26FEB07LASSLU
2026-02-06T18:38:44.868858,2f8d7267-0149-4ef0-87ba-77e11a8e1f16,KXNCAAMBGAME-26FEB07FIUWKU-FIU,YES,2,0.31,0.03188,0.34188,180.0,MONEYLINE,,florida international,KXNCAAMBGAME-26FEB07FIUWKU
2026-02-06T18:38:45.014369,f440cb8d-d665-4679-8c23-5c1ab9c766f4,KXNCAAMBGAME-26FEB07RICHURI-RICH,YES,2,0.27,0.028805,0.298805,220.0,MONEYLINE,,richmond,KXNCAAMBGAME-26FEB07RICHURI
2026-02-06T18:38:45.161541,087a3175-9c45-434d-a916-1c980d3175e6,KXNCAAMBGAME-26FEB07MTUDEL-MTU,NO,1,0.31,0.022527,0.332527,188.0,MONEYLINE,,middle tennessee,KXNCAAMBGAME-26FEB07MTUDEL
2026-02-06T18:38:45.306063,8b926357-1ea1-43ab-8734-21e0ece7f249,KXNCAAMBGAME-26FEB07MTUDEL-MTU,YES,1,0.65,0.017473,0.667473,-230.0,MONEYLINE,,middle tennessee,KXNCAAMBGAME-26FEB07MTUDEL
2026-02-06T18:39:25.602247,72b83d3b-e44d-4eb4-948a-3c51f2a280ff,KXNCAAMBGAME-26FEB07SCUWSU-SCU,YES,2,0.76,0.027394,0.787394,-465.0,MONEYLINE,,santa clara,KXNCAAMBGAME-26FEB07SCUWSU
2026-02-06T18:40:05.276559,4a010966-ad4e-4863-82b4-2e92134b3ab7,KXNCAAMBGAME-26FEB07SFSMC-SF,NO,3,0.85,0.027301,0.877301,-1100.0,MONEYLINE,,san francisco,KXNCAAMBGAME-26FEB07SFSMC
2026-02-06T18:41:24.233937,3a795c33-eec6-4918-9113-cbf7a2e01e09,KXNCAAMBGAME-26FEB07SDAKSDST-SDAK,NO,3,0.79,0.032677,0.822677,-610.0,MONEYLINE,,south dakota,KXNCAAMBGAME-26FEB07SDAKSDST
2026-02-06T18:42:43.307119,f2b4960c-60d4-479a-a3f5-f0b6ecb45133,KXNCAAMBGAME-26FEB07SFSMC-SF,NO,3,0.85,0.027301,0.877301,-1100.0,MONEYLINE,,san francisco,KXNCAAMBGAME-26FEB07SFSMC
2026-02-06T18:44:02.307101,aed4c14d-88c1-48b0-b57a-c34dc2cf434c,KXNCAAMBGAME-26FEB07SDAKSDST-SDAK,NO,3,0.79,0.032677,0.822677,-610.0,MONEYLINE,,south dakota,KXNCAAMBGAME-26FEB07SDAKSDST
